image_id,label,color_group,r,g,b,contrast,thickness_nm
mock_00049,Trilayer,Purple-Blue,127.8574,147.0703,209.2461,-0.17956,1.071781
mock_00050,Monolayer,Light Blue,189.7324,204.375,237.5332,-0.039658,0.317337
mock_00051,Bulk,Yellow,187.5391,165.5586,121.5791,-0.334631,4.947097
mock_00052,Monolayer,Light Blue,189.042,204.3086,237.6172,-0.007801,0.479123
mock_00053,Monolayer,Light Blue,189.7559,204.7148,237.3809,-0.051694,0.424472
mock_00054,Monolayer,Light Blue,189.6064,204.4258,237.6553,-0.021931,0.292356
mock_00055,Monolayer,Light Blue,189.4502,204.7812,237.0049,-0.049223,0.257612
mock_00056,Bilayer,Blue,154.4521,179.25,219.4697,-0.093664,0.747834
mock_00057,Few Layers,Green,114.499,169.5771,149.1045,-0.229248,2.10386
mock_00058,Few Layers,Green,114.7607,169.5449,149.1719,-0.258713,2.324383
mock_00059,Trilayer,Purple-Blue,127.0029,147.3643,209.9619,-0.161735,0.912774
mock_00060,Bulk,Yellow,187.8125,165.3584,121.4795,-0.308183,4.944991
mock_00061,Monolayer,Light Blue,189.374,204.541,237.5303,-0.048332,0.405216
mock_00062,Monolayer,Light Blue,189.3965,204.6387,237.75,-0.073153,0.178973
mock_00063,Bilayer,Blue,154.0654,179.5557,219.5791,-0.102875,0.681765
mock_00064,Few Layers,Green,114.0898,169.626,149.2949,-0.251612,2.284598
mock_00065,Monolayer,Light Blue,189.6309,204.6348,237.5059,-0.050725,0.364415
mock_00066,Bilayer,Blue,154.3896,179.1982,219.7822,-0.093454,0.663565
mock_00067,Few Layers,Green,114.6045,169.6016,149.5068,-0.251004,2.219813
mock_00068,Bulk,Yellow,188.0596,165.8398,121.6152,-0.296505,5.14628
mock_00069,Trilayer,Purple-Blue,127.292,147.5742,209.2803,-0.162929,0.892877
mock_00070,Few Layers,Green,114.4883,169.543,149.502,-0.237323,2.220902
mock_00071,Bulk,Yellow,187.4316,164.873,121.2002,-0.336997,5.03746
mock_00072,Bilayer,Blue,154.0957,178.9307,219.3281,-0.090024,0.607951
mock_00073,Bilayer,Blue,154.3242,178.9033,219.8203,-0.08698,0.7782
mock_00074,Monolayer,Light Blue,189.1738,204.7666,237.2002,-0.032853,0.229462
mock_00075,Bilayer,Blue,154.7998,179.2393,219.5088,-0.083985,0.543193
mock_00076,Bulk,Yellow,187.5254,165.4121,121.3799,-0.336069,4.99035
mock_00077,Bilayer,Blue,154.9746,179.3164,219.2998,-0.108662,0.572427
mock_00078,Monolayer,Light Blue,188.9053,204.0625,237.6592,-0.013434,0.356186
mock_00079,Trilayer,Purple-Blue,127.6172,147.3281,209.4609,-0.1438,0.935254
mock_00080,Bilayer,Blue,155.0762,179.252,219.8125,-0.072332,0.538238
mock_00081,Monolayer,Light Blue,189.7314,204.6162,237.6934,-0.088144,0.326535
mock_00082,Bulk,Yellow,187.7012,165.5459,121.6514,-0.310685,5.051142
mock_00083,Trilayer,Purple-Blue,127.5254,147.1826,209.4004,-0.185553,0.939082
mock_00084,Monolayer,Light Blue,189.3477,204.2422,237.8066,-0.058048,0.39338
mock_00085,Bilayer,Blue,154.8496,179.3838,219.459,-0.115825,0.667914
mock_00086,Trilayer,Purple-Blue,127.3516,147.5264,209.7344,-0.162543,1.097678
mock_00087,Few Layers,Green,114.8418,169.3135,149.8057,-0.276332,2.202578
mock_00088,Trilayer,Purple-Blue,127.502,147.1768,209.6758,-0.152036,1.003223
mock_00089,Bilayer,Blue,154.5264,179.1416,219.8828,-0.103189,0.551935
mock_00090,Few Layers,Green,114.4619,169.4355,149.6953,-0.235828,2.194647
mock_00091,Few Layers,Green,114.6299,169.7617,149.585,-0.230216,2.230791
mock_00092,Few Layers,Green,114.5186,169.1299,149.3779,-0.234338,2.045301
mock_00093,Trilayer,Purple-Blue,127.8857,147.7588,209.4453,-0.168918,0.969862
mock_00094,Bulk,Yellow,187.8301,165.4902,121.5146,-0.304054,4.918759
mock_00095,Bilayer,Blue,154.7129,179.5791,219.2432,-0.092972,0.554648
mock_00096,Bilayer,Blue,154.6689,178.9971,219.7031,-0.095435,0.623507
mock_00097,Monolayer,Light Blue,189.707,204.3672,237.5186,-0.024586,0.454031
mock_00098,Monolayer,Light Blue,189.3477,204.8818,237.2217,-0.044602,0.373647
mock_00099,Monolayer,Light Blue,189.666,204.5869,237.3779,-0.07061,0.389373
mock_00100,Monolayer,Light Blue,189.4785,204.2598,237.4512,-0.065386,0.22091
mock_00101,Bulk,Yellow,187.7246,165.5732,122.127,-0.315912,5.064558
mock_00102,Trilayer,Purple-Blue,127.7725,147.3545,209.2266,-0.156768,1.018427
mock_00103,Trilayer,Purple-Blue,127.6172,147.5215,209.5371,-0.18601,1.106011
mock_00104,Bulk,Yellow,187.4814,166.0859,121.2949,-0.293917,5.064711
mock_00105,Monolayer,Light Blue,190.002,204.3135,237.4346,-0.044433,0.396784
mock_00106,Monolayer,Light Blue,189.3408,204.5977,237.3486,-0.036936,0.301023
mock_00107,Trilayer,Purple-Blue,127.6055,147.3945,209.6074,-0.157851,0.989654
mock_00108,Monolayer,Light Blue,189.248,204.6875,237.8398,-0.041984,0.209904
mock_00109,Bilayer,Blue,154.2109,179.6533,219.7129,-0.115618,0.678613
mock_00110,Bilayer,Blue,154.5234,179.6709,219.8223,-0.102477,0.793366
mock_00111,Monolayer,Light Blue,189.3906,204.5615,237.1533,-0.058384,0.248134
mock_00112,Trilayer,Purple-Blue,128.082,147.3652,208.8086,-0.156756,0.990822
mock_00113,Bilayer,Blue,154.9277,179.667,219.4277,-0.115154,0.614339
mock_00114,Bilayer,Blue,154.4805,179.3945,219.5342,-0.101178,0.651551
mock_00115,Bulk,Yellow,187.3271,165.7949,121.1074,-0.293589,4.969349
mock_00116,Bilayer,Blue,154.2061,179.5303,219.1914,-0.11868,0.670858
mock_00117,Few Layers,Green,114.623,169.6182,149.1641,-0.252253,2.206576
mock_00118,Monolayer,Light Blue,189.6484,204.3018,237.5967,-0.043792,0.486307
mock_00119,Trilayer,Purple-Blue,127.7549,147.3232,209.3271,-0.177373,1.008298
mock_00120,Monolayer,Light Blue,189.416,204.6416,237.4668,-0.09816,0.354032
mock_00121,Monolayer,Light Blue,189.6123,204.2793,237.5078,-0.055145,0.401444
mock_00122,Bilayer,Blue,154.3018,179.3682,219.6123,-0.094745,0.571917
mock_00123,Bilayer,Blue,154.4648,179.293,219.0771,-0.105341,0.590928
mock_00124,Bilayer,Blue,153.9453,179.458,220.0273,-0.114618,0.642908
mock_00125,Bilayer,Blue,154.8965,179.4023,219.4775,-0.093438,0.555073
mock_00126,Few Layers,Green,114.501,169.7783,149.8916,-0.229297,2.182785
mock_00127,Trilayer,Purple-Blue,127.9951,147.4326,209.6172,-0.19153,0.943817
mock_00128,Monolayer,Light Blue,189.3965,204.5488,237.4102,-0.039331,0.409089
mock_00129,Bilayer,Blue,154.4189,179.9219,219.7764,-0.118122,0.554772
mock_00130,Few Layers,Green,114.5088,169.708,149.8994,-0.244004,2.222105
mock_00131,Monolayer,Light Blue,189.7061,204.2139,237.5352,-0.041923,0.481967
mock_00132,Monolayer,Light Blue,189.3076,204.46,237.292,-0.064016,0.37961
mock_00133,Bilayer,Blue,154.5576,179.6455,219.3037,-0.110993,0.745853
mock_00134,Few Layers,Green,114.5781,168.79,149.2412,-0.217302,2.199403
mock_00135,Trilayer,Purple-Blue,127.7305,147.1182,209.1748,-0.150017,1.005605
mock_00136,Bilayer,Blue,154.6592,179.6113,219.5479,-0.094386,0.667596
mock_00137,Monolayer,Light Blue,189.2715,204.4365,237.1484,-0.021235,0.37063
mock_00138,Few Layers,Green,114.1748,169.3711,149.9502,-0.224936,2.087455
mock_00139,Monolayer,Light Blue,189.9717,204.0098,236.8535,-0.070322,0.312133
mock_00140,Trilayer,Purple-Blue,127.8428,147.3252,209.9443,-0.163653,0.941249
mock_00141,Few Layers,Green,114.5762,169.3271,149.7637,-0.235664,2.183132
mock_00142,Bulk,Yellow,187.2402,165.5244,121.3809,-0.310334,4.924674
mock_00143,Bulk,Yellow,187.5,165.5635,121.6924,-0.299028,5.222924
mock_00144,Trilayer,Purple-Blue,127.5762,147.5527,209.583,-0.137416,0.996735
mock_00145,Few Layers,Green,114.7539,169.3955,149.2441,-0.259268,2.239404
mock_00146,Trilayer,Purple-Blue,127.5684,147.6465,209.2393,-0.155632,0.937735
mock_00147,Trilayer,Purple-Blue,127.0098,147.335,209.6094,-0.147283,1.083356
mock_00148,Monolayer,Light Blue,189.4209,204.6104,237.9463,-0.0419,0.384478
mock_00149,Monolayer,Light Blue,189.3477,204.0742,237.4453,-0.050418,0.217932
mock_00150,Few Layers,Green,114.457,169.4619,149.124,-0.267376,2.139134
mock_00151,Few Layers,Green,114.6787,169.1299,149.7363,-0.240863,2.380366
mock_00152,Bilayer,Blue,154.1914,179.6211,219.3672,-0.08451,0.73774
mock_00153,Trilayer,Purple-Blue,127.1377,147.2559,209.6494,-0.156441,0.975081
mock_00154,Bulk,Yellow,187.0957,165.4844,120.792,-0.310664,4.95737
mock_00155,Trilayer,Purple-Blue,127.7324,147.0811,209.6289,-0.171334,0.993287
mock_00156,Monolayer,Light Blue,189.7832,204.4717,237.2666,-0.074944,0.35276
mock_00157,Monolayer,Light Blue,189.0625,204.6914,236.7686,-0.060384,0.298571
mock_00158,Monolayer,Light Blue,190.0332,204.9629,237.0557,-0.04097,0.350684
mock_00159,Bilayer,Blue,154.8057,179.4082,219.0918,-0.106986,0.679405
mock_00160,Few Layers,Green,114.0488,169.6465,149.9062,-0.235435,2.079621
mock_00161,Few Layers,Green,114.1045,169.6436,149.5371,-0.225674,2.128213
mock_00162,Bilayer,Blue,154.5947,179.4736,219.8555,-0.09529,0.775496
mock_00163,Bilayer,Blue,154.8457,179.6074,219.6523,-0.082078,0.628015
mock_00164,Trilayer,Purple-Blue,127.4746,147.416,209.5156,-0.136274,0.960605
mock_00165,Bilayer,Blue,154.5771,179.7236,218.9326,-0.082269,0.687183
mock_00166,Bilayer,Blue,154.6729,179.8525,219.8408,-0.128672,0.70221
mock_00167,Few Layers,Green,114.6729,169.5322,149.3535,-0.218645,2.091182
mock_00168,Few Layers,Green,114.6553,169.417,149.2354,-0.25953,2.297992
mock_00169,Trilayer,Purple-Blue,127.3984,146.9268,209.5166,-0.145933,1.121259
mock_00170,Bilayer,Blue,154.5713,178.9482,219.5098,-0.116456,0.764855
mock_00171,Trilayer,Purple-Blue,126.8096,147.5312,209.832,-0.12921,1.011373
mock_00172,Bilayer,Blue,153.8535,179.4658,219.2363,-0.11849,0.726462
mock_00173,Bulk,Yellow,187.4443,165.333,121.2451,-0.322433,5.029996
mock_00174,Bulk,Yellow,187.1914,165.6436,121.5068,-0.3126,4.972582
mock_00175,Bilayer,Blue,154.5273,179.8281,219.3213,-0.104882,0.795262
mock_00176,Bilayer,Blue,154.1406,179.6748,219.1406,-0.106491,0.792698
mock_00177,Bilayer,Blue,154.709,179.5059,219.832,-0.137086,0.718682
mock_00178,Monolayer,Light Blue,189.5186,204.8096,237.3652,-0.044665,0.451668
mock_00179,Few Layers,Green,114.2891,169.7627,149.4619,-0.23693,2.185987
mock_00180,Trilayer,Purple-Blue,127.5703,147.79,209.333,-0.147698,0.962042
mock_00181,Bilayer,Blue,154.3945,179.0381,219.7256,-0.100098,0.721534
mock_00182,Bilayer,Blue,154.9053,180.0449,219.9854,-0.096833,0.570601
mock_00183,Bilayer,Blue,154.5732,179.1895,219.4844,-0.08378,0.563647
mock_00184,Monolayer,Light Blue,189.2998,204.5469,237.1953,-0.037157,0.130136
mock_00185,Few Layers,Green,114.5234,169.7471,149.751,-0.202364,2.115604
mock_00186,Monolayer,Light Blue,189.2656,204.2627,237.6904,-0.051117,0.386539
mock_00187,Bilayer,Blue,154.7471,179.4922,219.21,-0.092633,0.645338
mock_00188,Bilayer,Blue,154.4873,179.7041,219.0791,-0.079796,0.717575
mock_00189,Bulk,Yellow,187.4199,165.8135,121.7754,-0.345394,5.057061
mock_00190,Bulk,Yellow,187.5732,165.5088,121.8965,-0.306134,4.91571
mock_00191,Trilayer,Purple-Blue,127.7256,147.5146,209.3789,-0.159612,1.007143
mock_00192,Monolayer,Light Blue,189.5039,204.6152,237.4834,-0.045239,0.321274
mock_00193,Monolayer,Light Blue,189.5254,204.6162,237.2725,-0.06135,0.354903
mock_00194,Monolayer,Light Blue,189.0625,204.0527,237.4902,-0.028429,0.433382
mock_00195,Trilayer,Purple-Blue,127.3994,147.7158,209.5967,-0.186857,0.997316
mock_00196,Monolayer,Light Blue,189.0127,203.9209,237.7383,-0.024366,0.323878
mock_00197,Trilayer,Purple-Blue,127.5762,147.4209,209.2236,-0.172825,1.022719
mock_00198,Bilayer,Blue,154.4414,179.5469,219.6719,-0.096432,0.645206
mock_00199,Monolayer,Light Blue,189.2119,204.4785,237.5078,-0.041657,0.321519
mock_00200,Few Layers,Green,114.4531,169.1895,149.7188,-0.267558,2.097757
mock_00201,Bulk,Yellow,187.6465,165.4395,121.791,-0.323146,5.009984
mock_00202,Monolayer,Light Blue,189.7842,204.4531,237.3984,-0.04045,0.277303
mock_00203,Trilayer,Purple-Blue,127.1875,147.7217,209.8057,-0.161642,1.125235
mock_00204,Monolayer,Light Blue,189.5547,204.5967,238.0342,-0.052896,0.426733
mock_00205,Bilayer,Blue,154.9141,179.4736,219.3535,-0.096216,0.704634
mock_00206,Bilayer,Blue,154.3604,179.2451,219.2461,-0.106406,0.825159
mock_00207,Monolayer,Light Blue,189.5312,204.2441,237.3672,-0.060222,0.383195
mock_00208,Monolayer,Light Blue,189.9951,204.5957,237.5137,-0.026862,0.42677
mock_00209,Bulk,Yellow,187.3584,165.7646,121.7588,-0.31959,4.984815
mock_00210,Trilayer,Purple-Blue,127.918,147.7646,209.5791,-0.15869,1.037418
mock_00211,Monolayer,Light Blue,189.9922,203.957,237.7891,-0.034379,0.377869
mock_00212,Monolayer,Light Blue,189.083,204.5107,237.5176,-0.060531,0.24244
mock_00213,Few Layers,Green,114.4424,169.5479,149.1836,-0.22431,2.178312
mock_00214,Bulk,Yellow,187.7422,165.8223,121.4355,-0.301571,4.985887
mock_00215,Trilayer,Purple-Blue,127.3848,147.7148,209.3809,-0.16929,0.866847
mock_00216,Bilayer,Blue,154.8076,179.2744,218.834,-0.100303,0.819385
mock_00217,Few Layers,Green,114.4385,169.334,149.3271,-0.233509,2.20693
mock_00218,Bilayer,Blue,154.3291,179.4688,219.7383,-0.068113,0.639129
mock_00219,Bulk,Yellow,187.0508,164.8643,121.1641,-0.315181,4.957316
mock_00220,Bulk,Yellow,187.417,165.6113,121.7666,-0.337018,4.982528
mock_00221,Trilayer,Purple-Blue,127.4707,147.333,209.8447,-0.164257,0.845876
mock_00222,Trilayer,Purple-Blue,127.5586,148.002,209.6475,-0.142495,0.933662
mock_00223,Trilayer,Purple-Blue,127.3193,147.6406,209.7354,-0.166586,0.923243
mock_00224,Trilayer,Purple-Blue,127.4727,147.6572,209.835,-0.176097,0.935749
mock_00225,Bilayer,Blue,154.6123,179.5469,219.6807,-0.115568,0.683919
mock_00226,Few Layers,Green,113.9844,169.6914,149.1172,-0.222109,2.02892
mock_00227,Bilayer,Blue,154.5449,179.2158,219.208,-0.095948,0.566118
mock_00228,Trilayer,Purple-Blue,127.5352,147.6572,209.5723,-0.15372,0.951466
mock_00229,Bilayer,Blue,154.7539,179.4404,219.6816,-0.110156,0.655843
mock_00230,Monolayer,Light Blue,189.5918,204.5459,237.501,-0.03809,0.281555
mock_00231,Bilayer,Blue,154.1074,179.1982,219.7734,-0.114176,0.593988
mock_00232,Bulk,Yellow,187.1377,165.6836,121.4199,-0.308676,5.027754
mock_00233,Bulk,Yellow,187.5088,165.2529,121.2676,-0.306914,5.029858
mock_00234,Trilayer,Purple-Blue,127.2578,147.5234,209.6953,-0.177275,1.001764
mock_00235,Few Layers,Green,114.1943,169.8691,149.2227,-0.236172,2.212437
mock_00236,Few Layers,Green,114.7832,169.7207,149.7822,-0.225885,2.157633
mock_00237,Trilayer,Purple-Blue,127.2158,147.2783,209.6865,-0.141688,0.96568
mock_00238,Bulk,Yellow,187.6367,166.0156,121.5449,-0.327773,5.167926
mock_00239,Few Layers,Green,114.9219,169.4463,149.2285,-0.231426,2.203072
mock_00240,Few Layers,Green,114.4863,169.4756,149.9004,-0.270418,2.207527
mock_00241,Bilayer,Blue,154.4072,179.0459,219.3799,-0.124832,0.730939
mock_00242,Few Layers,Green,114.2949,169.5488,149.833,-0.227191,2.266419
mock_00243,Bilayer,Blue,154.4111,179.5322,219.6514,-0.096259,0.637184
mock_00244,Monolayer,Light Blue,189.6074,204.4248,237.4043,-0.033608,0.38657
mock_00245,Bulk,Yellow,187.8428,165.376,121.8223,-0.327687,5.005944
mock_00246,Monolayer,Light Blue,189.7773,204.376,237.6787,-0.057006,0.389623
mock_00247,Monolayer,Light Blue,189.4629,204.6006,237.5547,-0.05745,0.343283
mock_00248,Trilayer,Purple-Blue,128.1309,147.8438,209.376,-0.16702,0.917319
mock_00249,Few Layers,Green,114.6846,169.6436,149.8262,-0.254459,2.182799
mock_00250,Bilayer,Blue,154.7607,179.8604,219.4658,-0.108814,0.512076
mock_00251,Few Layers,Green,114.6943,169.5801,148.9189,-0.211474,2.105365
mock_00252,Trilayer,Purple-Blue,128.2178,147.501,209.5908,-0.155287,1.060887
mock_00253,Trilayer,Purple-Blue,127.5645,147.3789,209.7549,-0.145402,0.967792
mock_00254,Few Layers,Green,114.5801,169.4395,149.4785,-0.240832,2.265507
mock_00255,Bilayer,Blue,154.5664,179.0283,219.5293,-0.095349,0.530021
mock_00256,Few Layers,Green,114.2041,169.9922,149.2588,-0.223468,2.294674
mock_00257,Few Layers,Green,114.1816,169.3672,149.6475,-0.245588,2.22679
mock_00258,Few Layers,Green,114.084,169.4434,149.0791,-0.249699,2.294085
mock_00259,Few Layers,Green,114.6338,169.1895,149.2637,-0.251328,2.207899
mock_00260,Bulk,Yellow,187.8428,165.709,121.6064,-0.320328,5.152221
mock_00261,Few Layers,Green,114.3545,169.7119,149.5479,-0.212947,2.33399
mock_00262,Few Layers,Green,114.959,169.458,149.1172,-0.253106,2.274072
mock_00263,Trilayer,Purple-Blue,127.6689,147.7695,209.2568,-0.187908,0.897347
mock_00264,Monolayer,Light Blue,189.5264,205.1562,237.3848,-0.035141,0.371835
mock_00265,Trilayer,Purple-Blue,127.5039,147.3008,209.4766,-0.159714,0.915837
mock_00266,Monolayer,Light Blue,189.751,204.5381,237.415,-0.048731,0.224917
mock_00267,Monolayer,Light Blue,189.2871,204.4219,237.4971,-0.039847,0.287832
mock_00268,Bilayer,Blue,154.4238,179.3672,219.2695,-0.11514,0.713839
mock_00269,Few Layers,Green,114.3193,169.6357,149.7217,-0.242239,2.202891
mock_00270,Few Layers,Green,114.8174,169.8877,149.7158,-0.249964,2.165822
mock_00271,Few Layers,Green,114.3271,169.4443,149.6572,-0.246386,2.167947
mock_00272,Bilayer,Blue,154.5752,179.9434,219.5283,-0.114344,0.584521
mock_00273,Few Layers,Green,115.1406,169.4395,149.0439,-0.227749,2.282496
mock_00274,Few Layers,Green,114.1631,168.8965,149.3721,-0.245735,2.266484
mock_00275,Trilayer,Purple-Blue,127.7354,147.7881,209.291,-0.164911,1.001607
mock_00276,Few Layers,Green,114.6543,169.4092,149.5195,-0.239243,2.21553
mock_00277,Trilayer,Purple-Blue,127.8877,147.6367,209.4189,-0.158269,1.024558
mock_00278,Bilayer,Blue,154.7852,179.7979,220.0957,-0.105454,0.603548
mock_00279,Bilayer,Blue,154.8164,179.709,219.6875,-0.099824,0.584182
mock_00280,Trilayer,Purple-Blue,127.6826,147.8184,209.5732,-0.130971,0.856605
mock_00281,Trilayer,Purple-Blue,127.4873,147.5039,209.3105,-0.148519,0.996794
mock_00282,Few Layers,Green,114.5732,169.1924,149.6787,-0.252304,2.165688
mock_00283,Monolayer,Light Blue,189.6104,204.71,237.3906,-0.034811,0.263055
mock_00284,Trilayer,Purple-Blue,127.3184,147.292,209.6865,-0.152861,1.10952
mock_00285,Bilayer,Blue,154.2998,179.7686,219.6807,-0.106922,0.600619
mock_00286,Trilayer,Purple-Blue,127.8213,147.6973,209.9248,-0.181283,1.016358
mock_00287,Bulk,Yellow,187.4717,165.0537,121.7041,-0.319875,4.914479
mock_00288,Few Layers,Green,115.1523,169.543,149.5752,-0.241994,2.331862
mock_00289,Bulk,Yellow,187.3623,165.5059,121.7383,-0.318754,5.072277
mock_00290,Bulk,Yellow,187.8096,165.7012,121.748,-0.343483,4.993527
mock_00291,Few Layers,Green,114.4746,169.3301,149.2871,-0.245867,2.110725
mock_00292,Monolayer,Light Blue,189.5029,203.918,236.9023,-0.015666,0.324995
mock_00293,Monolayer,Light Blue,189.9414,204.4883,237.3281,-0.042158,0.322628
mock_00294,Few Layers,Green,114.4375,169.5459,149.5107,-0.242836,2.083306
mock_00295,Monolayer,Light Blue,189.4131,204.6416,237.1953,-0.047254,0.418122
mock_00296,Bulk,Yellow,187.4199,165.7646,121.9336,-0.327633,5.041456
mock_00297,Bulk,Yellow,187.7715,165.0381,121.3379,-0.337685,4.987402
mock_00298,Bulk,Yellow,187.5693,165.8457,121.8623,-0.337224,5.124186
mock_00299,Few Layers,Green,114.6328,169.6875,149.4619,-0.260689,2.091351
mock_00300,Bilayer,Blue,153.9629,179.0703,219.5723,-0.079896,0.60213
mock_00301,Bulk,Yellow,187.3994,165.6172,121.2314,-0.297958,5.108587
mock_00302,Monolayer,Light Blue,189.4404,204.7773,237.4697,-0.044787,0.33313
mock_00303,Bulk,Yellow,187.1963,165.749,121.4326,-0.324168,4.914782
mock_00304,Monolayer,Light Blue,189.4932,204.4355,237.3867,-0.049316,0.15333
mock_00305,Trilayer,Purple-Blue,127.3711,147.2354,209.334,-0.1355,0.96216
mock_00306,Bulk,Yellow,187.1621,165.3076,121.2314,-0.310152,4.913783
mock_00307,Monolayer,Light Blue,189.5771,204.793,237.7031,-0.035756,0.286387
mock_00308,Bilayer,Blue,154.3096,179.6758,219.8008,-0.100059,0.675885
mock_00309,Monolayer,Light Blue,189.7236,204.4619,237.4482,-0.035484,0.441486
mock_00310,Bilayer,Blue,154.5508,178.9941,219.625,-0.091768,0.704252
mock_00311,Monolayer,Light Blue,189.7881,204.5488,237.457,-0.061367,0.347047
mock_00312,Monolayer,Light Blue,189.46,204.6611,237.6631,-0.050054,0.3937
mock_00313,Trilayer,Purple-Blue,127.585,147.7705,209.8623,-0.135168,0.931137
mock_00314,Few Layers,Green,113.9658,170.4297,149.3066,-0.248288,2.225588
mock_00315,Monolayer,Light Blue,189.5752,204.2969,237.667,-0.035891,0.398856
mock_00316,Trilayer,Purple-Blue,127.8008,147.7002,209.2803,-0.145046,1.004366
mock_00317,Monolayer,Light Blue,189.5908,204.3066,237.1807,-0.055194,0.562107
mock_00318,Trilayer,Purple-Blue,127.2275,147.5176,209.499,-0.17289,1.030164
mock_00319,Monolayer,Light Blue,190.1768,204.7812,237.3242,-0.058151,0.461731
mock_00320,Bulk,Yellow,187.4102,165.6201,121.6172,-0.354058,4.943318
mock_00321,Monolayer,Light Blue,189.5703,204.6055,237.1348,-0.032834,0.172086
mock_00322,Few Layers,Green,114.6152,169.6553,149.3984,-0.220048,2.201265
mock_00323,Monolayer,Light Blue,189.3213,204.5244,237.1543,-0.050218,0.312203
mock_00324,Trilayer,Purple-Blue,127.3994,147.6074,209.7822,-0.197979,0.91803
